RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
102001,0,United States,country,,1221.0473469784147,1227.1681180560918,1235.5722514610145,1245.2955984884234,1254.4397969153822,1262.7506460721297,1268.4069493366073,1271.6261841171063,1272.9417738200361,1272.9670753416667,1273.5987645671264,1274.7838828034558,1278.6327765023746,1283.7537335222844,1290.158534912032,1298.6762953368193,1307.356190804718,1315.403302407822,1319.553121847549,1321.2459783351476,1320.17808347474,1318.5104885412848,1316.9890474546246,1317.1257526347597,1322.5402233428574,1332.511697586058,1345.5369586289323,1357.1803701490098,1366.9031931370673,1374.5429413970132,1379.0948353337037,1380.6327937732763,1381.3704232033413,1381.1037624765306,1381.8799246670155,1383.3011550973727,1387.9127358564247,1395.4608654940607,1406.204751843548,1416.9562272480352,1426.1889059443226,1433.288965044243,1437.4714653155456,1439.864344547144,1439.8859134600068,1440.4908195346384,1442.1681561521737,1444.87011766313,1449.4372381058688,1456.7724959072855,1468.0572650768347,1479.414123518838,1489.5619704894882,1496.890082067821,1501.3839140823272,1503.244840203128,1503.5350604359596,1503.828149818023,1504.88657196206,1506.3719620039042,1511.6796100108406,1520.3222059218674,1530.4284944605638,1536.2473700471753,1542.560473509609,1551.0307551442936,1564.3519008501703,1576.1765118045123,1586.40638864503,1594.5639407745716,1600.970034483467,1607.8843633473307,1618.459833068692,1632.5297477222632,1649.2851425671934,1668.1644195148142,1691.0994465444523,1715.1908230426266,1738.2937590913796,1759.7318791067041,1777.5025709898503,1791.174305458255,1801.6981272978126,1812.8095520533236,1826.2054930460279,1843.4348791715788,1862.402793414334,1883.061369123804,1901.3797595695198,1919.275155481198,1933.5767813154735,1944.321943288982,1949.0225702558828,1951.3725896207754,1950.5688368677463,1953.1520898036142,1957.79724917832,1966.954052863856,1979.784255782413,1993.4234955338034,2006.4193033764875,2016.312556881902,2025.5686828040061,2032.7388473874153,2036.6971413407105,2037.6399000867832,2037.3052077459183,2039.4227307579024,2046.2955979118365,2057.2009588716874,2071.389407813094,2083.91070766565,2094.864816239521,2103.397634078734,2110.7340411376053,2115.958820478034,2117.6773988235964,2117.4614191541164,2118.729094600774,2121.384228530222,2128.9182915493348,2139.2570780641695,2152.335711405724,2163.626913748798,2172.1983870101535,2177.97898939478,2181.4298634902643,2183.8861223817144,2185.0562944277603,2184.462818559288,2182.4260342078082,2181.9274036956717,2185.7852109752616
394913,1,"New York, NY",msa,NY,2086.2820024627317,2109.736068300872,2128.1081975840234,2140.0507004100446,2140.8503866641695,2155.499958289795,2160.5443519230175,2161.8574842595863,2161.6541506174153,2162.4878176493858,2165.4049490198468,2168.755351419952,2176.717471767255,2189.004527039697,2196.405005856438,2209.19684942335,2218.7546533660015,2224.1873164973476,2228.7273540317346,2224.6876742123845,2224.4339980359923,2219.8378373015257,2231.694551511188,2238.767814935627,2255.459817770476,2264.8940792076996,2283.9284324280393,2296.510590934172,2308.7564044357596,2313.9441515123312,2320.0595555932578,2315.6166464938697,2336.74175677761,2345.42080303853,2345.3044457258297,2325.017446636925,2323.111910274583,2336.7125056103114,2350.124961059018,2366.260071166952,2377.406927954469,2384.0614407109274,2385.0927224468737,2390.709780404922,2394.1707921436005,2393.6303985415466,2396.073954454154,2396.388501283135,2399.843729875732,2414.9037180321493,2438.6081098436734,2458.398679967453,2469.7823529403486,2477.67064747523,2476.8117530993995,2470.1385379428834,2454.9158543419817,2467.4168098954515,2471.8332540896517,2489.1459136268554,2488.200410241711,2500.056342672039,2515.4173152255125,2533.9169953287696,2549.2599110488336,2561.5074213559724,2571.943456372003,2579.9460028680874,2581.255123130325,2570.2219152937323,2585.909044289753,2587.362344940816,2615.122101166454,2631.4762450299067,2677.5784896122295,2707.081837773791,2727.6520986228934,2749.949671937404,2770.2213035250606,2786.996703506244,2781.0909765293604,2798.9795962451467,2798.7771008108175,2835.5125329810307,2860.783954079588,2908.5024009890094,2943.3289399870855,2973.9066908187256,3013.153105118594,3037.0712132671547,3067.627182923027,3079.9715921513634,3084.5643651569208,3079.7729413609254,3077.188636757179,3080.9538520108235,3094.8569720516534,3124.199597027499,3170.4203410401974,3210.8341333706926,3236.246380844552,3237.6296055176686,3248.9072502264194,3256.866602872313,3263.896980995263,3256.4178848566094,3258.417085143303,3280.7857529326257,3311.2311874964917,3337.4796186378917,3370.6524564415004,3386.308935845919,3398.8132476792175,3404.2913124897964,3419.466314423219,3431.181894554623,3420.8703039465327,3412.644255766825,3422.621656159519,3458.2407669130575,3479.620897372662,3476.8350175494206,3478.1675097298503,3497.3778498211436,3528.869181522247,3550.7680378196133,3557.908728444396,3564.451284364792,3556.700399718775,3564.783240837928,3579.127741697675,3584.712175007148,3595.739948640756
753899,2,"Los Angeles, CA",msa,CA,2469.683312161396,2485.0742981487388,2504.6519526715774,2519.698665860903,2541.256609020883,2557.052314100051,2574.9124210625996,2580.9568946583695,2591.192952381898,2594.246432162556,2593.4120904665137,2598.0731066802755,2611.847394817744,2631.885467523846,2652.960674012773,2668.2124951748006,2698.5866458149067,2713.360552526093,2728.665026047509,2727.0120988117906,2725.4677165185285,2717.9685725222694,2710.0424624626758,2710.6905134788994,2732.360301096826,2761.161210843135,2792.4747906124303,2815.951822300026,2839.0417219186756,2849.8175921306192,2860.497649879545,2860.644980042187,2865.2891693375186,2859.482778982072,2865.568051592348,2869.8693058584713,2885.678246954767,2900.6589237106923,2923.284257586167,2942.5922647742427,2958.206269372956,2973.299160402343,2982.495637881272,2985.9448847576,2988.273588470314,2994.418632052107,3010.2716226095567,3012.6891722298114,3019.7274868305462,3021.3795674038906,3048.418178250469,3063.9022506431315,3090.7449040182955,3097.4739214656443,3107.6698437255304,3104.720354510415,3106.6788681757075,3109.2672169276934,3114.806266840328,3118.29623557628,3126.798994835628,3142.108370512467,3149.9394602923794,3142.281714678635,3141.0474176884827,3157.2799854341974,3192.0808969476157,3205.2927774629325,3218.039538371485,3221.3488308788715,3241.3112104477423,3249.361970999183,3279.5592484038402,3299.753139123783,3338.3171555274585,3359.031845356882,3389.4575397235,3418.440733032951,3450.49219671383,3494.9125907127946,3531.2441165422706,3558.715795881468,3578.378018230789,3603.516533393937,3634.366250076409,3676.153128320531,3720.6485359288286,3765.8233151044947,3799.9795788885663,3826.715567489653,3851.152866902362,3860.0046848876204,3865.046063809226,3869.8347165451905,3876.5519573795677,3874.147615638032,3879.6119974735593,3886.9573603252843,3915.8064317509366,3945.30391862705,3973.604502070617,3998.808850581709,4016.087739524727,4034.175940000403,4034.2492547559696,4032.5011590797944,4033.709859739149,4044.6860839056353,4064.7170306409485,4088.94933599892,4114.43802380948,4134.66660381291,4144.710637535762,4160.389069523305,4175.964736855832,4188.009482915844,4191.712458495428,4188.003004456729,4192.477388305171,4195.631786430289,,4330.401597222094,4387.643524996423,4370.466619822982,4363.303855327435,4361.803101116039,4359.280308768828,4357.520325650745,4353.072976117583,4345.958457765751,4346.748342000802,4335.902004948018,4342.078938224252
394463,3,"Chicago, IL",msa,IL,1422.0595633127423,1427.771796203229,1435.634920295651,1447.95461173063,1459.0727062081028,1468.0351622226922,1470.294384121863,1471.033714997676,1466.2719115311133,1459.2044089945234,1454.7560853882248,1458.8542060715804,1466.5602459115566,1474.4946128879997,1483.4858751067907,1492.0969480436663,1498.9692648418227,1502.430242840492,1505.9128839923133,1510.0963848619192,1506.5482834064574,1499.5317407214122,1492.3358934213309,1486.1017440874275,1493.7522232530625,1503.623654618791,1521.567232055292,1534.1804185676663,1545.7351202355471,1551.3147174151982,1552.583362139432,1548.7256934175584,1545.6999792435133,1538.0476868288492,1534.9324947918694,1533.5170284608362,1538.259352376626,1546.508617498437,1559.8887801314072,1576.8121861153534,1587.098861319115,1592.8724568760294,1591.2143997413657,1590.897207899934,1589.2389980182368,1587.0535852887015,1583.3744442169484,1578.4004729042056,1584.8919817260185,1590.7255622099237,1605.8930095853823,1616.5413011097771,1629.236396818655,1635.3452413979485,1637.9865059761946,1637.4235799211706,1635.941697719363,1632.44310370278,1628.096422942396,1624.2602871162599,1626.1903294227156,1638.4598455207376,1653.6138401921637,1664.1810891895957,1667.9848989120483,1674.9797709157972,1684.3062014397347,1695.2551526131463,1695.3439625898993,1695.3215984668857,1694.0820648202998,1700.537004224023,1712.0852308173482,1725.1315085681053,1739.9643165977698,1754.5290260171585,1775.211767707342,1794.8943506851595,1811.3689648237755,1823.2745730447905,1839.8282986478034,1848.80091024822,1858.747763960456,1861.627457111335,1866.278266830472,1872.8083493894087,1891.658955397977,1916.3863583835177,1945.2820972004915,1962.7362043913788,1978.5963211222627,1988.4345295731428,1993.8526743863374,1998.426765677835,1994.44956622616,2002.4077658273086,2012.66442016503,2028.5193533948718,2041.0304926194851,2058.132996852778,2075.358215062362,2095.094318176424,2106.98012556949,2118.4274913005697,2121.987818395602,2127.221957558477,2133.1947144696887,2142.8089168282945,2156.4635162309596,2168.2691741404096,2187.1235704871815,2205.6748727359436,2223.3887939668366,2235.9045176895997,2249.3666026546457,2262.447122333131,2270.6789074403787,2274.4809856626316,2276.7764021814314,2285.304107355286,2293.8370603650305,2315.708503250766,2333.285258708035,2348.5147811016486,2359.441728224025,2368.546541269136,2387.246973748516,2392.8596205025697,2399.6939949299845,2393.228258649856,2390.821074871144,2388.189793901167,2400.8463964236375
394514,4,"Dallas, TX",msa,TX,1364.5078991339801,1372.730387926155,1382.6562675308646,1396.0614117328073,1408.2864545394891,1419.0387877556777,1427.8787764633823,1430.7689521583204,1431.453693310756,1430.9558758350115,1431.2066110161022,1432.9304377965218,1435.5240284220129,1444.697032776854,1454.424240993508,1467.439148091421,1478.0172665524697,1488.231339433063,1493.8297318804478,1496.8936620076058,1495.9189207916495,1493.5200931873221,1490.3737730300572,1490.1481678903397,1497.8357362882282,1508.0781965571048,1522.9752000570413,1534.5825069760851,1547.510858325519,1554.841834984051,1560.5813333806566,1562.7071916724547,1561.8425325773837,1560.8462011389756,1560.2536378701209,1563.379823611113,1568.4626134686541,1576.8243988164647,1585.0228320141387,1595.8576062085435,1602.9613770636504,1612.5005135174638,1614.2290297989753,1617.210518569857,1616.7445949336727,1617.4715172396463,1615.3881810349972,1616.9629868752445,1622.8383184524591,1630.7299866374337,1640.4863258097548,1650.3747628929812,1662.686518510065,1669.4860376593476,1671.943799332047,1671.8895999898743,1671.9535291223071,1673.541754024132,1676.4462093125906,1674.78053589893,1677.7055902917537,1682.1093792680254,1694.1810030090878,1699.0171248306656,1705.7196878879172,1713.5745934815257,1726.1729179833872,1735.0890746969162,1743.3301477670725,1752.4128408716595,1762.7690346316454,1772.3820636066732,1784.657054765027,1799.3764475971093,1816.822366089907,1838.863463685463,1866.8523134093582,1897.2221477296246,1925.176007971935,1949.6612051155819,1970.8944502168633,1990.3652745334416,2000.9501602235223,2008.5976008463263,2018.7220122409512,2037.326499521401,2059.335434320378,2081.3354035037105,2104.1197559868306,2130.9469994111982,2149.60828313224,2159.641358028272,2159.74086546425,2161.6270805005183,2163.8146811669385,2167.5711947358977,2170.668974903206,2176.3985664356405,2187.921218855111,2198.729468678899,2213.3725637870057,2224.983887708799,2236.1970119003004,2239.839458959928,2237.657327747512,2230.8045756216834,2230.5943015476964,2229.925065742607,2236.057278151359,2242.924685810845,2258.303619304059,2271.1136755281677,2277.7844372850395,2285.319838716129,2288.3307046710675,2290.5362133800227,2285.615744875133,2278.8286560848683,2272.5326377866218,2267.8483973555276,2272.4973415828867,2285.6933307734716,2300.3601548819615,2312.6027236712152,2317.7584053348487,2320.1446645639494,2317.403191541563,2309.814317228636,2307.887428026226,2306.13805855435,2303.9664134870823,2298.636767098509,2299.693263457905
394692,5,"Houston, TX",msa,TX,1497.2805820020435,1501.2771727907377,1508.8949357925715,1520.298711627441,1532.4835311176473,1542.5960244506625,1544.5858674376598,1543.932278025457,1539.3177277431034,1535.3841517094868,1532.2633839503071,1527.8696337021315,1528.819765081335,1528.5252881645295,1534.3658708086587,1537.3961604983426,1541.7773388724777,1545.621900662328,1544.9839472083763,1542.7832033728964,1534.9752178595518,1527.2610948244078,1517.4839521725132,1512.313572052569,1515.7411830056562,1527.5178851103149,1539.3269715640158,1547.8802597103245,1554.4028629505067,1559.5513724942214,1561.0224355528887,1560.6872037621456,1566.2197278436952,1572.5104487757992,1577.3604757925243,1576.720545588109,1581.076146140802,1586.5251684188622,1593.276614539097,1597.9647439812534,1604.0626106631364,1610.585330148508,1610.1112036881518,1609.5227062937188,1605.9300881091538,1604.798153598327,1600.7488409358466,1599.5413772958395,1602.1660833160472,1608.2391778624637,1617.5681004780342,1628.209771704905,1638.7589449993156,1644.926869889523,1646.002625608812,1643.7605921557183,1642.8576897526507,1641.5622193490597,1640.6020991699695,1639.6915005857236,1644.6733973554576,1650.983873563742,1658.4823703577326,1658.0744164461546,1661.907524544569,1665.6025252864588,1677.7218905122147,1688.442328077662,1697.6376046608416,1704.573860737055,1708.5411332391188,1715.3120061069208,1728.226289985087,1741.0724696181728,1753.4036585683864,1766.292830517444,1787.1581837261235,1809.615771609758,1822.96441602161,1836.3872636912408,1843.6516356349985,1858.0710087650016,1863.7867392974954,1873.9234980352057,1882.6392292545377,1898.242614471575,1909.0390132615055,1921.9093602950677,1932.352999179484,1953.917114193204,1968.0162479467679,1978.9679882608432,1978.2537624379022,1981.7950985751877,1978.9220351428344,1981.66144478158,1983.4092485215137,1994.258712748365,2005.6923284724892,2015.9083811732824,2027.528429646443,2040.9316457512093,2054.596603037199,2061.694971731196,2059.9227797075123,2056.8500285428745,2052.231030301075,2054.1178195885777,2057.019352269558,2070.004964038315,2078.790640382649,2090.932410496817,2097.653051565071,2108.8743473744134,2115.6137656463907,2121.410652874528,2120.382799878887,2117.6098965357764,2116.425364452096,2117.9266854483885,2120.3489060654056,2126.0770387974057,2136.1632295647614,2146.732150322581,2151.7690182788724,2150.6642276366842,2150.5730873547413,2150.1271975272825,2149.7783924605487,2145.923556007804,2142.1138018608913,2140.1025442604378,2140.67264111906
395209,6,"Washington, DC",msa,VA,1990.3678699094464,2004.28755729422,2020.7093455112708,2032.0194394288837,2040.2782052426849,2049.7151364262277,2053.474563197048,2050.978576852707,2049.935229517644,2044.3673096204582,2043.0376533479314,2038.6404614121195,2043.2177449802853,2052.8420845576416,2063.569204588146,2071.642380219506,2079.826599095025,2088.722942351737,2096.5046407685436,2099.333830705656,2091.4460574870286,2085.842822140085,2078.479304840189,2076.2261761907193,2081.9214965052065,2094.950742500658,2114.1921125179306,2127.527625217737,2137.3515086940147,2145.8644625503107,2149.407358415595,2147.7613250804616,2143.6445242391865,2136.348189535938,2133.242819153039,2134.977160183457,2142.7945101230953,2151.1585997639177,2161.5834780351456,2175.1721604629397,2188.339067422886,2197.1035018172875,2201.1460919818574,2203.756123897106,2199.727086843569,2193.8684451638605,2191.7405390412396,2192.315874615091,2196.154281721995,2207.5605760421836,2225.7846084426333,2244.548073375954,2254.307019150456,2260.823161198813,2262.311651962392,2265.854576290163,2267.6208596332963,2265.586174904721,2258.544324600171,2249.9294755510577,2256.0115520114437,2267.9352112312436,2290.417092794734,2303.623172047892,2316.498417124304,2321.4208495261723,2330.6266451833835,2339.0415220010254,2346.2600949079233,2344.3308909205907,2343.457312974776,2342.8691139282723,2354.6816079537048,2363.160029321033,2383.2796577945433,2404.5228156612748,2434.132881042656,2455.205819029381,2475.1222781877905,2490.253849132449,2504.462646681591,2513.0382446355707,2518.095876032827,2519.586667266482,2531.8201112269107,2553.7187953059442,2578.529986073484,2608.0302186268523,2628.8204697662745,2651.5780790806693,2664.6234166218005,2673.2282721005895,2683.4284448936455,2681.429342033287,2682.820472906658,2686.121538664546,2695.5441615056325,2709.3380591559007,2723.537791815889,2745.6642267451452,2769.527970429627,2793.029541909391,2811.341617530921,2825.1285644540035,2828.377449278325,2833.854753101748,2836.6377388865867,2841.9304277511997,2846.835041865344,2860.0582589372602,2883.163128968466,2909.735150598883,2930.490390430643,2952.0247748035554,2965.156358456871,2975.227021554991,2975.7899093474716,2971.8340483897323,2974.8681637318705,2970.280781583334,2988.3802571139836,3006.749635559403,3041.989129721928,3052.2378736012724,3058.8523410160255,3061.5795608275725,3073.7832211933624,3079.9052092232737,3081.418070544717,3067.6472452961966,3058.4633641328437,3048.1874773741247,3070.367243090656
394974,7,"Philadelphia, PA",msa,PA,1262.1271100411973,1269.5864192382085,1280.870385119826,1286.8348835800714,1293.2325127473603,1296.3974373250219,1300.760470976778,1301.4897189754754,1302.5001473700333,1302.0556410435795,1298.8655776370001,1298.1604774773084,1298.9079100342774,1305.6648847894342,1313.8002967410878,1323.9691145619101,1331.22050205887,1337.9414113267646,1339.147271876035,1339.90037240836,1335.2528483426584,1334.1410517623267,1336.34210623305,1341.0886762918458,1346.9593761094438,1353.9627204517203,1363.9406815125362,1372.6579946872637,1378.0389957218233,1378.395237232491,1379.509211491466,1380.7952839663617,1383.9261904411158,1387.6676297187466,1389.2985993626785,1390.4472706103095,1388.5295411497352,1394.130048778596,1405.9507074513797,1418.3850459867035,1428.529113670508,1432.7564963524042,1432.4149738256924,1430.3993788113573,1431.8971684339215,1436.3638133463828,1441.5591409011554,1441.5562059434046,1445.5559435200696,1452.849852503192,1462.8438952737442,1473.6389584396545,1481.0313857980764,1488.584351104675,1491.1454074380056,1491.4976461795482,1491.3971405412412,1495.7135545054775,1498.051398394089,1501.8800564562328,1504.063815442409,1512.08975236125,1522.6166745975818,1528.1425374819646,1535.1487442719801,1540.6351190787275,1552.70393488471,1560.067023568515,1569.040610478537,1573.6836385901483,1579.142411052593,1585.8235306786746,1598.2464492681838,1611.4969004661118,1619.3831180995076,1632.7965086288968,1648.7839390916204,1664.6114910370673,1677.539401128683,1690.6992493932582,1693.3382574497327,1705.5753886386444,1718.6884013437095,1743.2718296068822,1756.518460187735,1765.2793306951955,1778.7005768381553,1791.5231810745177,1806.6903646397543,1819.7558328410516,1832.2650886513504,1843.9388452185917,1851.5603487220444,1852.959970705354,1855.3284528432494,1854.8147127005352,1863.6004943723133,1872.7841236231222,1887.2628616406653,1899.1465703858282,1906.7136404752678,1913.660925513925,1920.119213244334,1928.0065768497484,1942.6374644733166,1959.1583374047912,1968.3505858077656,1968.1193663307527,1969.685926944324,1978.8186687933685,1994.1450487279494,2003.7875058725929,2013.815029008857,2019.0336937410464,2021.70567551595,2031.7449833357025,2042.5404709259203,2056.953284720433,2065.2015029128593,2075.5751020688635,2083.0952449498086,2092.2811080000915,2090.136017262156,2093.6201949678543,2097.8031401290905,2104.8769189053387,2116.162611955497,2119.7933193821323,2129.6234075300285,2130.387372985486,2131.990598624865,2134.7639601732703,2140.1121027221693
394856,8,"Miami, FL",msa,FL,1672.196142589848,1676.9453576656833,1687.6689399075444,1696.5622020156097,1704.0675738484456,1710.6816609465973,1720.9970590001412,1731.293675677061,1742.6288934676782,1750.402268933032,1762.8357336321244,1767.6116960023367,1775.925487592989,1773.2486505913946,1777.0208603230556,1778.0472983798873,1786.1483978137203,1787.0115262234604,1791.7863600445205,1795.2139608783332,1804.356716303072,1807.134212333297,1813.0113587576939,1812.4284158259084,1817.7514138974045,1824.7735055790085,1837.8833437876551,1844.9258097649167,1848.140085080675,1852.59854709105,1861.6288466063697,1869.4314885904155,1874.5163035816317,1880.4762992462101,1884.195365206639,1890.0065536167072,1893.9841995947413,1899.587565125205,1904.7622057611095,1912.0850643980225,1918.9150369880538,1923.7530822544857,1926.154928186111,1933.631921528434,1940.3768729108056,1950.6293895738872,1956.528986041064,1957.6849116217054,1957.6408726082666,1961.1245958372047,1972.4720632892315,1978.0599224462608,1983.0864610724732,1988.1273617328893,1995.6289116282528,1999.6108423350433,2008.7156302385526,2021.8712069970584,2036.1013426200122,2040.9567491457055,2038.533181031811,2042.2693561456733,2045.2707314283275,2047.7420989223745,2046.607377355597,2055.7618577847534,2073.9564218402215,2092.356047420078,2115.096235435616,2148.2173377515583,2177.271773465052,2199.940912984477,2207.4528262965405,2222.28819397913,2234.2847173556574,2262.993588473359,2296.5583736886024,2352.049432342353,2412.1220972976803,2479.0373670877193,2547.5467367944207,2596.18485672576,2656.7441194912367,2703.430609281406,2755.6123582608766,2789.7510775060746,2832.09377171883,2889.5891178425763,2950.3585905544064,2999.4765817918073,3029.449778685141,3049.468206200582,3056.5188774430612,3067.783559219534,3075.387341712543,3080.9158161997175,3073.751898688082,3068.705585330983,3074.5661930091305,3091.5684759991072,3110.0008332666043,3130.907725208951,3140.309303797593,3150.069946492631,3160.483505463725,3180.3615408123374,3189.481944579126,3178.3969683545993,3170.1548358663244,3177.0960850124993,3195.821402520085,3212.8235489669255,3221.0724363999057,3229.3731645759417,3239.0801390201573,3250.4126759348997,3257.3591671742133,3253.50276577875,3255.9417274530156,3259.8743213585194,3263.0727826086777,3268.0782296352386,3280.6429818468355,3294.5454723629477,3299.0604714027986,3301.5490793791996,3304.948540157393,3302.5773473220925,3296.730485095576,3304.3622321429057,3301.726874233868,3308.5685232572737,3301.9091209183644
394347,9,"Atlanta, GA",msa,GA,1095.5398367421303,1101.6759126226134,1104.4778208321443,1113.700316766519,1121.6376433960586,1133.8630936618308,1140.2079569933137,1142.9692652927808,1142.495098952058,1142.0988208601968,1141.8375954661924,1145.7653322001274,1151.4832142260223,1159.7668943235506,1166.208415823235,1173.540438080155,1183.0733437449098,1193.0955265206453,1201.6331746743324,1205.4346488581898,1204.6144654403518,1204.2042660570444,1203.139644697164,1205.6480023614524,1210.4190625258857,1219.7030392637919,1231.9313507927948,1244.0239037892086,1256.2211868519069,1266.5613050414242,1275.9943651215167,1278.5875413040164,1280.8077036217828,1277.469677064048,1282.9557088404304,1284.5795045557093,1292.861703710821,1297.6403825576197,1310.3628079551152,1321.1746538112527,1333.32201025413,1340.015710954943,1345.6776004359053,1347.272855634978,1348.673594131812,1352.2956722172753,1357.163686963291,1361.2428623989806,1366.2718987849503,1373.5568362705721,1386.0378110661447,1398.6093192387577,1410.3972391808516,1420.1567945344004,1425.383167604299,1428.2225804569648,1429.908469087399,1432.18077600504,1435.0225210165847,1437.1480705331387,1441.4416891761225,1450.266816415044,1462.5713003663411,1473.3816439094405,1483.8473456251556,1496.5707476585371,1512.0082928771299,1529.3730115785304,1544.1800776815207,1558.2684531769373,1568.4688062429934,1578.8070055003843,1593.2329713770207,1612.8141316499064,1635.5078416845815,1661.7919898446899,1687.7785753314583,1717.2562381113376,1743.2232259915802,1774.9278640095115,1798.992369149001,1822.034644608251,1832.9668035225375,1840.028299438305,1846.7714645396456,1856.871916799922,1872.6071349022554,1887.012417737392,1905.8122793508724,1928.1349223991535,1953.5033283866367,1971.4856611851003,1981.2832338083692,1984.6063643509126,1983.4378450109236,1990.292259234114,1990.5025982914804,1996.6258925399081,2001.1635425079082,2009.708945086004,2018.530660794672,2023.123649216534,2031.4198923726929,2037.0542698695954,2040.5438715740747,2034.1228105602934,2025.8557542042959,2024.402167250799,2038.412738649206,2059.224603549487,2074.427390073871,2081.653635380688,2083.2055177481952,2092.911399952405,2102.1829433356206,2111.5069902927967,2109.8628689339635,2107.8793014077246,2105.660751188963,2110.6414017781963,2118.1208656521876,2135.0646117471474,2145.471452218136,2158.8162165816802,2162.153045287464,2168.744530384459,2175.194736114758,2183.218383881787,2188.9448204166247,2185.9106765034876,2179.649053347354,2174.426019740069,2175.4427148998657
